gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
7.967901943944618107e-03,-2.647563451842068274e-02,2.102698932871407272e-02
-1.033807835143878313e-02,1.894926302974483598e-02,7.651375929689596764e-04
4.065289898851875278e-02,-2.958094383514558653e-02,8.452251333539947953e-02
2.825332325294593189e-02,5.522923430306594245e-02,-1.580054471103488692e-02
-1.727071172340907679e-01,1.213852577726953763e-02,3.352022228115875829e-02
-2.678997890658912744e-03,-3.766769231931691581e-02,3.066133958358906175e-02
8.134200495683151233e-02,-7.212759643144983634e-02,-4.465112590069245796e-02
4.795097923747927704e-02,-4.435913602193589794e-02,3.897107089522985207e-02
-1.782228047384590980e-02,5.185434406216537367e-02,2.564692828296966792e-02
-6.134003512049820972e-02,3.282136717998867387e-02,-3.081130959940717694e-03
-7.037966565144274100e-02,-1.845268784147926361e-02,2.996861966377114758e-02
-1.189096069292617380e-02,-2.498523921857921312e-02,8.961039058098173304e-02
2.064944252308815661e-02,1.086327663115657129e-02,2.202649351380476031e-02
-3.293513709812136842e-02,-1.852802481768607568e-02,-7.510748960798380560e-05
-3.959145163507623438e-02,-3.299909643935822895e-02,-5.408001635339802771e-02
-1.959991554450161294e-02,3.458142499559790223e-02,-8.407614538452845565e-03
-4.268674250578133843e-03,-1.702930217524894433e-03,-4.354700987940238882e-02
2.536602148474573562e-02,-4.598897100340545996e-02,6.548065929406173165e-03
2.774329576492513480e-02,-9.800215500483573997e-03,6.108420407177879430e-02
-1.670932822762333236e-02,3.633273777195818871e-02,-2.943715415829447138e-02
-1.110999654465183624e-02,-3.970912007306274388e-02,7.577038615305317637e-02
-1.725727232178825982e-02,-1.630598269604498218e-02,6.463205243271688029e-03
-1.855792040995194250e-02,3.050125844130412503e-02,6.465444112241256966e-03
-3.395789232212152731e-02,-7.292637951598447688e-02,9.388499914611542208e-02
-3.509735764996570195e-02,3.125914019334142396e-03,2.792456963568223580e-02
2.680855796071084790e-02,-4.906058000359393018e-02,-3.441353546851606392e-03
3.698511274884895561e-02,-2.584075129182561784e-02,5.617916225601066876e-02
-4.228075309226175804e-02,-1.181714692091251004e-02,-4.411816656409538184e-02
-3.209757473715343923e-02,-2.670876007472212585e-02,5.016525431359029202e-02
9.859031254675725692e-03,-2.400068855775462640e-02,-1.231922666564166761e-02
-3.029417089079948847e-02,-4.774263808839477327e-04,1.929943526361059189e-02
8.038352597409915978e-02,5.608912654632745853e-02,-7.624900340511711703e-04
3.913567324784423401e-02,-2.260815059713435632e-02,-1.362153725611706806e-02
-2.774624154939943008e-02,3.033387825761611756e-02,-6.627875863087717700e-02
5.605043337837067874e-03,1.134933166635462565e-01,1.482977417745375524e-02
-4.354595803159360540e-02,5.463272348879627538e-02,1.517568888122006448e-03
3.347694472186983107e-03,-1.910424791461159608e-02,2.772633311270721046e-02
3.366431282293275845e-02,-2.286025103751468043e-02,-3.581075463636642069e-03
-2.669734579469323216e-03,1.111292601046146890e-02,1.685376274043119682e-02
-2.219212188593168086e-02,2.519631355537663847e-02,-1.010728000665034841e-02
-3.414731055051559855e-02,-9.160918247311064522e-02,-3.614410704156111043e-02
-3.940009640065227081e-02,-3.807738030892277026e-02,5.143070359052277774e-02
-2.036172787849675411e-02,-5.023328139617250221e-02,-4.987738641218025099e-02
-2.738015702956732647e-02,-5.604665889600977252e-02,-4.812543731658038698e-02
-5.328762745417538367e-03,-1.118188969990502248e-04,-1.944323273816491934e-02
-1.013878552586871921e-02,-3.081889109941193458e-02,7.120626200262451799e-02
-1.517499707910137559e-02,-3.385736861624095290e-02,-2.252380797354112951e-02
9.762700194067530299e-03,-4.909576462255532681e-02,-3.425027098419324706e-02
-5.943837885009774918e-02,-1.051164107186443146e-03,-4.208043046463961004e-03
3.402234732712081100e-02,-1.694813352666258571e-02,-8.149563424849992285e-03
-4.966439083632123025e-02,-1.654323054331191534e-02,4.552326841340987446e-02
5.380648520092111420e-02,5.390537004797152365e-02,-1.226274761354488943e-02
-8.290294664311072259e-02,5.102447301440044686e-02,-5.201767429919437746e-02
2.248162394919096113e-02,-3.301748306825748325e-02,4.877258095035842678e-02
5.259571909336423906e-02,-5.267885463537656104e-02,-5.629346214272617360e-02
-6.179965543096714586e-02,-2.546581559939344389e-02,2.865522662113069788e-02
-6.863215289236557215e-02,-3.952238419345752152e-02,-6.424532420930238741e-02
2.996999409707614206e-02,7.470455180131613596e-03,-5.424583820218272824e-03
-3.111459149365027738e-02,8.789622572202854950e-03,1.189283246843975995e-02
1.532998263365901309e-02,-4.251580178652813319e-02,2.778140310637672392e-03
7.270009261367245401e-02,-2.676545428225076545e-02,-2.757798041210061946e-02
-6.109031687262261000e-03,-2.739378053150236247e-02,1.008125345465361693e-02
6.325158362928581498e-04,4.853541125805579948e-02,-4.485057822382346182e-02
8.967979848540086341e-03,-3.893328710324661657e-02,-5.198059966200203885e-02
5.838331677023837069e-02,-3.826806969395515554e-03,2.649878656594924914e-02
-2.091401803118918962e-02,-2.635654570851628242e-02,3.084210085890295647e-02
-1.193760731050336373e-02,-8.500129847840981467e-02,5.692631843436426337e-02
-7.884670591822169269e-03,-1.152589343412571037e-03,-3.399904232641448587e-02
-2.746962120121450995e-02,-5.957428100193563197e-02,-9.437380419477938917e-03
-1.127526898991383086e-01,1.800915889010343621e-02,5.775845639613896160e-02
-4.849323576567896726e-02,-2.778993071271768089e-02,-1.015317770615377542e-02
-1.071498245855088439e-02,3.829748015815739176e-02,-2.573585942715616789e-02
-1.822555574715957125e-02,-7.442401410514172533e-02,1.640016319171623896e-02
2.165726913917881760e-02,-4.441211447599334450e-02,-6.861328620424636537e-02
3.613196203880861355e-03,6.753227049003338034e-02,-3.029080897325018770e-02
-4.101302540926498458e-02,-2.778782227440575311e-04,-1.242053921229046773e-02
4.294998184785123185e-02,3.872886426326449527e-02,-5.503038626969970065e-02
1.210037335425789319e-02,2.510396983934494453e-03,4.913989738131648716e-02
4.291288486604571267e-02,5.063390312266274895e-02,1.482796626617420392e-02
-4.268963382440565252e-02,-2.695849010798975764e-02,4.332436443661458539e-03
1.108859688989595818e-02,3.426195724287629113e-02,-4.163765406131420682e-02
7.103985873373191984e-02,1.419433569127423640e-02,6.532540664425942611e-02
-8.452397922709530692e-03,-9.817948077583649527e-03,-5.714389482851320833e-03
-1.015522622593842406e-02,2.602430892338248106e-02,3.794357661272067424e-03
5.308979509890406068e-03,-1.130865193492535357e-02,-2.988203088391632595e-03
1.644391828031952982e-02,-3.718267131029187600e-02,-4.260129954595593196e-03
-5.131436625489902564e-02,3.635852614057184101e-02,-6.620257717378064989e-03
4.171914908263103274e-03,-1.541884845195654052e-02,5.616615046925785282e-02
-3.516557875949760225e-03,-2.236798408804571009e-02,-1.916710178946609902e-02
-4.215392800065452528e-02,2.288074210748794468e-02,1.121165934304060472e-03
-5.805067318054628334e-02,3.354663212052236276e-02,-1.205666805348768887e-04
-4.891969883055317936e-02,2.136928208980654401e-02,5.348697596205819436e-03
1.275745204557143103e-02,-4.906944588892398276e-03,3.381370114665736837e-03
-1.808923352712974927e-02,2.276611492284607782e-02,2.374666064201443050e-02
-2.773748588057610778e-02,1.237509591628593170e-02,-3.589940047271531105e-03
1.241097520809517248e-02,1.472108085562087894e-02,4.046036157561035823e-02
-2.112888564407203532e-02,6.134946014819155080e-02,3.593028951520144815e-02
-4.268754377759887558e-02,7.294607113012372725e-03,8.614520431612092410e-02
8.193584418416593323e-03,-8.028277703082968564e-02,-1.240457002726621898e-02
3.282490665943390597e-03,1.312591430654505044e-02,-7.614176389598647891e-03
1.132993242941200684e-02,2.369591489454713623e-02,-2.849594594449966073e-02
-3.523901305172533194e-02,-2.034171765904976142e-03,3.699045949414214718e-02
3.195800421425652044e-02,-2.297745649626438749e-02,-3.563239696617918201e-02
1.054344531114535383e-01,-1.604461037109111698e-02,3.548705383892776510e-02
-4.808174749337465470e-02,-1.712453969114562449e-02,1.661734591492912416e-02
-6.455211225197007505e-03,1.701236013791282073e-02,-1.400388798339545840e-02
-1.172588407703817510e-02,1.026551678269864154e-01,4.477404797204794645e-02
-5.368831575470846967e-02,-2.044315231378589920e-02,1.399850769779577113e-02
3.911567972769258023e-02,-1.555213607912356820e-02,1.710608384023825507e-02
-4.458436467469693160e-02,4.182062064370413446e-02,3.581611929312236708e-02
6.108270898212374289e-02,-4.697610031117151891e-02,1.845205470599741576e-02
-2.098849922911860330e-02,-1.338205552537325912e-02,1.992111896045473465e-02
-2.771439745663667204e-03,9.322176141458244150e-03,-5.212858435471555418e-02
1.473603541011297285e-02,4.781327115413398603e-03,-5.689787229066866139e-03
-9.875872340923627646e-02,3.975687991692228307e-02,-1.094470618586923386e-03
3.323970868581924837e-02,5.080567336848535592e-02,2.633588493244153061e-02
-5.801843774212116916e-02,-4.966635228255222509e-03,-5.445798972623716594e-02
-3.344865117347983752e-02,1.365495719591995616e-02,1.704530965299796280e-02
-9.702682068583160652e-03,-4.806936617378484641e-03,-1.515991574741678942e-02
1.899882892253257696e-02,-1.347605965537379373e-02,-3.033938582579719795e-02
-3.513247600808285659e-02,-2.049566608564944853e-02,5.877555161207118073e-02
-2.188956148026177662e-02,2.163857926471355470e-02,5.173617448699555782e-02
2.645049480076428709e-03,6.370864089438208963e-03,-1.291975432937167781e-02
-3.077929330969905210e-03,-8.932614441733725819e-02,3.312836306048168311e-02
3.808166537386887401e-02,-1.196511990267940841e-02,1.849774165174242549e-02
1.601068457308383458e-02,1.086241685485323308e-02,-9.788201435527560043e-03
4.547639303003554734e-02,3.816794324758539941e-02,7.283576726012729041e-02
-2.536694368298777341e-02,-3.945089933566489626e-02,7.403044210459637248e-04
-8.089712035010085747e-03,-4.159435077472285053e-02,-9.869768318631533602e-03
-6.998634377781316751e-03,-7.033371313788777668e-02,8.865579896187483766e-02
1.648886734750059507e-02,-7.228194643928896601e-03,-7.645405129026240296e-03
-2.260011179189175962e-02,8.476797662162079139e-02,-2.445070211599222054e-02
3.351766648758871397e-02,2.679754861753057271e-02,-6.013880748171502449e-02
7.058365040909088395e-02,2.714596378555722556e-02,-7.757042247431769622e-02
-5.327852072313733062e-02,-1.143585086526567292e-03,-3.944447978145953354e-02
5.805082184961503182e-03,-1.435318792229880753e-03,-5.144647032458028735e-02
-2.278874251364835721e-02,5.479176900054137656e-03,-3.409366862971335149e-02
5.618617946035245336e-02,-2.782155237815132909e-02,-5.392457569664403129e-03
-3.422820878986901350e-02,-1.852349973852208606e-02,-3.469364497553392018e-02
-5.559879792394505256e-03,-3.219615381035727253e-02,3.024727006046463648e-02
-5.060096490337433889e-02,4.687647137546938764e-02,-3.181403670467515543e-02
7.002108539375710705e-02,-4.658030846848763926e-04,-2.774467495450721674e-02
-4.685783763149573011e-02,3.023093104799241468e-03,-3.922131102769937233e-02
-9.329222738734987324e-04,-3.778105404444185439e-02,-4.880280687478891904e-02
5.569074765548776701e-02,4.113583395596194514e-02,4.307294271462218382e-02
1.972775423189714744e-02,-2.127023283280531779e-02,-2.246045838978030611e-03
-3.063650093477384914e-02,2.829615596425940908e-05,1.249951285677084779e-02
2.872108759530765491e-04,2.834256093130172599e-02,3.229452791196850935e-03
-5.344481014884491094e-02,2.246306579889225177e-02,-2.204870222250396652e-02
-1.211382140028667842e-01,-1.040972966523022875e-01,4.502805867983095123e-02
-2.020907273559492678e-02,-4.441843078712197357e-02,4.951224741533075124e-03
2.303603780409150745e-02,-5.867946920180686088e-02,-8.405001628855400531e-03
-5.182898742327968211e-02,2.360931509008943469e-02,2.120752294773107019e-02
-2.446765535891988474e-02,-1.964537999640457791e-03,3.174656086288580453e-02
-1.113225317974366885e-01,-6.932013487718868654e-03,3.702275147204447253e-02
-2.342308734261085504e-04,5.077629012634696931e-02,-1.493064913074652672e-03
