gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
1.000052007327286274e+00,-5.359825781022284743e-05,8.798955537463215570e-02,-3.754148142330732130e-02,-9.688024530763043873e-02,-9.148090179588541301e-03
9.999652393367991499e-01,-1.807718643155044089e-05,-1.141742977789022540e+01,-5.128496970042537018e-02,-8.835100345482982398e-02,5.313064111570109382e-02
1.000024373322945248e+00,6.539144833495262978e-05,1.018160176055764765e+01,3.527241088024953702e-02,-3.499255113401626358e-03,-2.008977868514905465e-02
9.999981606784177357e-01,3.473424594813897403e-05,-4.586279928553342877e+00,3.889714436112200885e-02,8.153919309921747044e-03,2.080940990567983762e-02
1.000015636686054865e+00,2.432436810039840142e-05,2.161680473953722093e+00,-3.071444162463053684e-02,7.734098990049260991e-02,1.048211475690271066e-01
9.999168688259568727e-01,1.294658832597659908e-06,1.613449224057471376e+00,1.989793191170963552e-02,1.273118505189841515e-02,-5.139837957084197016e-04
9.999905356238220078e-01,6.240825453063971839e-05,7.977026915179254551e+00,1.453390123708032389e-01,2.626217889490405077e-02,1.189086458189963225e-01
9.999943095732696241e-01,6.660848100748798710e-05,-9.712703438041717874e+00,-4.262589996764024058e-02,1.174918501945710486e-02,-9.503273940095235961e-02
1.000012077982830538e+00,3.701271642680877818e-05,4.603842187563059740e-01,-1.237162706295689280e-02,-1.341714733968125441e-02,1.578955796344229043e-02
1.000076230100754415e+00,-1.686913455048163072e-05,6.057199719078940170e+00,-5.064220581860887777e-02,-5.081090070551302559e-03,-1.022733769022485389e-01
9.999845413269558003e-01,9.213337102281213736e-06,1.759990877134170573e+00,-7.947728321048391775e-02,8.375886300008852925e-02,1.620213745028241739e-02
1.000030637630553665e+00,7.335738264536237222e-05,5.157839335150587345e+00,-6.306977987785278295e-02,-1.340556476392536223e-02,-1.255966668950619751e-02
9.999578428090837301e-01,-7.613612248578272403e-05,5.516352044893762852e+00,5.188241211373320616e-02,-9.415325068331098501e-02,1.595735785077989979e-02
1.000028529912852626e+00,-4.898990833983339811e-05,3.793241790541978187e+00,-9.933736270145276936e-02,-7.359103283987129818e-02,-9.219899056852073893e-02
1.000013981408664820e+00,-7.245248659883455310e-05,1.009642082919299355e+01,5.760563085319093946e-02,-3.999964765497209668e-02,7.393646261488577565e-02
9.999887328820208365e-01,-2.684160701993955515e-05,-6.008363894334040722e+00,7.815536717267182465e-02,-1.187887588708461811e-02,-8.622324362857548830e-02
9.999350048556224779e-01,8.782394708790591589e-06,6.586013107787975329e+00,4.294718455936649693e-02,-3.936704112322487320e-02,-7.922898844519014883e-02
1.000039420028167925e+00,-6.055888559540625822e-05,-9.854692454852607142e+00,-1.236055760789218222e-01,-1.098470104186489160e-01,2.488384310929056195e-02
1.000046487003823703e+00,1.701511615307950377e-05,6.448445625511356916e+00,-1.829500647233070140e-02,-4.595402882183961812e-02,1.250539573225103174e-01
9.999774618369174917e-01,-8.941115995349535616e-05,-6.167322512801627354e+00,-1.662021212154976210e-02,-2.203358079865258903e-02,-5.448319865855747596e-02
9.999678035375860752e-01,2.109401024889512820e-05,-9.867307537296053255e+00,6.272645375099776544e-02,-3.443275588387125635e-02,3.823720839141864225e-02
9.999877832057699756e-01,-1.001117896497712143e-05,4.509329160331077446e+00,-4.081142875739612874e-02,-1.753584701575332250e-02,-9.776368399921485375e-02
1.000020252502719309e+00,4.457237873730829944e-05,-2.441139241102562973e+00,6.930742299214197322e-02,4.852246748160649048e-02,6.940862339645147627e-04
9.999683763113550450e-01,-1.685005662904373903e-05,-3.821411703838407670e-01,-1.105290034271021321e-01,7.628874841377714100e-02,2.922812877621756844e-02
1.000026517709770690e+00,1.622477531042052865e-05,-9.895053416250839007e+00,-1.040972861308155778e-02,-4.779822734380039656e-02,5.439208031628966350e-02
